#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   2.05207     -6.498051  0.000  0.438  0.000  0.438
   2.03493     -6.560640  0.000  0.438  0.000  0.438
   2.01779     -6.621461  0.000  0.438  0.000  0.438
   2.00065     -6.680503  0.000  0.438  0.000  0.438
   1.98351     -6.737757  0.000  0.436  0.000  0.436
   1.96637     -6.793213  0.000  0.436  0.000  0.436
   1.94924     -6.846863  0.000  0.436  0.000  0.436
   1.93210     -6.898699  0.000  0.436  0.000  0.436
   1.91496     -6.948712  0.000  0.434  0.000  0.434
   1.89782     -6.996895  0.000  0.434  0.000  0.434
   1.88068     -7.043240  0.000  0.434  0.000  0.434
   1.86355     -7.087742  0.000  0.434  0.000  0.434
   1.84641     -7.130393  0.000  0.434  0.000  0.434
   1.82927     -7.171189  0.000  0.434  0.000  0.434
   1.81213     -7.210123  0.000  0.432  0.000  0.432
   1.79499     -7.247190  0.000  0.432  0.000  0.432
   1.77785     -7.282386  0.000  0.432  0.000  0.432
   1.76072     -7.315704  0.000  0.432  0.000  0.432
   1.74358     -7.347140  0.000  0.432  0.000  0.432
   1.72644     -7.376693  0.000  0.432  0.000  0.432
   1.70930     -7.404355  0.000  0.432  0.000  0.432
   1.69216     -7.430124  0.000  0.432  0.000  0.432
   1.67503     -7.453997  0.000  0.432  0.000  0.432
   1.65789     -7.475971  0.000  0.432  0.000  0.432
   1.64075     -7.496044  0.000  0.430  0.000  0.430
   1.62361     -7.514212  0.000  0.430  0.000  0.430
   1.60647     -7.530474  0.000  0.430  0.000  0.430
   1.58933     -7.544828  0.000  0.430  0.000  0.430
   1.57220     -7.557271  0.000  0.430  0.000  0.430
   1.55506     -7.567803  0.000  0.430  0.000  0.430
   1.53792     -7.576422  0.000  0.430  0.000  0.430
   1.52078     -7.583126  0.000  0.430  0.000  0.430
   1.50364     -7.587916  0.000  0.430  0.000  0.430
   1.48651     -7.590790  0.000  0.430  0.000  0.430
   1.46937     -7.591748  0.000  0.430  0.000  0.430
   1.46937     -7.591748  0.000  0.430  0.000  0.430
   1.45453     -7.591029  0.000  0.430  0.000  0.430
   1.43968     -7.588875  0.000  0.430  0.000  0.430
   1.42484     -7.585282  0.000  0.430  0.000  0.430
   1.41000     -7.580254  0.000  0.430  0.000  0.430
   1.39516     -7.573789  0.000  0.430  0.000  0.430
   1.38031     -7.565889  0.000  0.430  0.000  0.430
   1.36547     -7.556554  0.000  0.430  0.000  0.430
   1.35063     -7.545785  0.000  0.430  0.000  0.430
   1.33579     -7.533584  0.000  0.430  0.000  0.430
   1.32095     -7.519952  0.000  0.430  0.000  0.430
   1.30610     -7.504890  0.000  0.430  0.000  0.430
   1.29126     -7.488398  0.000  0.432  0.000  0.432
   1.27642     -7.470478  0.000  0.432  0.000  0.432
   1.26158     -7.451133  0.000  0.432  0.000  0.432
   1.24674     -7.430364  0.000  0.432  0.000  0.432
   1.23189     -7.408174  0.000  0.432  0.000  0.432
   1.21705     -7.384563  0.000  0.432  0.000  0.432
   1.20221     -7.359535  0.000  0.432  0.000  0.432
   1.18737     -7.333092  0.000  0.432  0.000  0.432
   1.17253     -7.305237  0.000  0.432  0.000  0.432
   1.15768     -7.275973  0.000  0.432  0.000  0.432
   1.14284     -7.245303  0.000  0.432  0.000  0.432
